index<TAB>primary_category<TAB>all_categories<TAB>caption<TAB>hashtags<TAB>video_url
33	jjk	jjk|mushoku_tensei	Gojo before Gojo existed😭🔥 #orsted #orstededit #animeedit #joblessreincarnation #rudeusgreyratedit	#orsted #orstededit #animeedit #joblessreincarnation #rudeusgreyratedit	https://www.tiktok.com/@.the_newbie/video/7660979796645629216
39	jjk	jjk|jujutsu_kaisen	Is Naoya the tuffest zenin?🔥 #naoya #jjk #animeedit #naoyazenin #jujustukaisenanime	#naoya #jjk #animeedit #naoyazenin #jujustukaisenanime	https://www.tiktok.com/@.the_newbie/video/7658383835633110304
40	jjk	jjk|jujutsu_kaisen	Yuta > Kashimo btw😭🔥 #yuta #jjk #animeedit #yutaokkotsu #jujustukaisenanime	#yuta #jjk #animeedit #yutaokkotsu #jujustukaisenanime	https://www.tiktok.com/@.the_newbie/video/7657641043810127137
85	jjk	jjk	This fight is definitely gonna break the Internet once it gets animated😭 #gojo #sukuna #iwillsurvive #jjk #animeedits	#gojo #sukuna #iwillsurvive #jjk #animeedits	https://www.tiktok.com/@.the_newbie/video/7617576925938142486
93	jjk	jjk	The best fight in the culling games😭🙏Animatons: @Kiozoh #kashimo #hakari #jjk #kashimohajime #animeedits	#kashimo #hakari #jjk #kashimohajime #animeedits	https://www.tiktok.com/@.the_newbie/video/7609417236167658774
94	jjk	jjk	“I’m not a zenin anymore, I took my wife’s name it’s fushiguro now” Peak stuff #toji #tojifushiguroedit #jjk #tojizenin #animeedits	#toji #tojifushiguroedit #jjk #tojizenin #animeedits	https://www.tiktok.com/@.the_newbie/video/7608673623930359043
95	jjk	jjk	This sound with Naoya is so tuff #naoya #naoyazenin #animeedits #jjk #toji	#naoya #naoyazenin #animeedits #jjk #toji	https://www.tiktok.com/@.the_newbie/video/7607930660379987222
98	naruto_boruto	naruto_boruto|jjk	Aura for Aura Sukuna vs Madara who y’all got😂 #madara #sukuna #madaraedit #sukunaryomenedit #animeedits	#madara #sukuna #madaraedit #sukunaryomenedit #animeedits	https://www.tiktok.com/@.the_newbie/video/7605337050417548566
99	jjk	jjk	Yuji really beat all the Fraud allegations, He’s top 1 in the verse now😭🔥 #yuji #jjkmodulo #jjk #itadoriyuji #animeedits	#yuji #jjkmodulo #jjk #itadoriyuji #animeedits	https://www.tiktok.com/@.the_newbie/video/7602732393560116502
100	naruto_boruto	naruto_boruto|jjk	The most glazed in history vs The most glazed of today😭😭 #kakashi #gojo #kakashiedit #gojoedit #animeedits	#kakashi #gojo #kakashiedit #gojoedit #animeedits	https://www.tiktok.com/@.the_newbie/video/7601626253606604054
101	jjk	jjk	Bro barely had any screen time and almost carried the episode😭 ib : @Zeno #tojiedits #jjk #jujusukaisen #animeedits #toji	#tojiedits #jjk #jujusukaisen #animeedits #toji	https://www.tiktok.com/@.the_newbie/video/7599399610586631446
102	naruto_boruto	naruto_boruto|jjk	Maki was really moving like Itachi😭 Who did it better im lowk going with maki she’s so tuff😭🔥 #maki #makiedit #jujusukaisen #animeedits #jjk	#maki #makiedit #jujusukaisen #animeedits #jjk	https://www.tiktok.com/@.the_newbie/video/7598656374171634966
149	jjk	jjk	Tuff getback can’t lie😭🙏 #manga #jjk #yuji #mahito #getback #peak #fyp	#manga #jjk #yuji #mahito #getback #peak #fyp	https://www.tiktok.com/@.the_newbie/video/7372247326888430854
158	jjk	jjk	Repost, ig jjk doesn’t get me views🙂‍↕️|| Song- Evil knievel- Rikimaru #fyp #newbieeditzz #edit #anime #jjk #jjkfights #jujutsukaisen #tojifishiguro #peak	#fyp #newbieeditzz #edit #anime #jjk #jjkfights #jujutsukaisen #tojifishiguro #peak	https://www.tiktok.com/@.the_newbie/video/7358190618075614469
165	jjk	jjk	Song: Way too fine by 00talka #fyp #newbieeditzz #edit #jjk #yuji #sukuna #anime #manga #peak	#fyp #newbieeditzz #edit #jjk #yuji #sukuna #anime #manga #peak	https://www.tiktok.com/@.the_newbie/video/7349255468843355397
206	jjk	jjk|jujutsu_kaisen	Jjk Cooking fr🔥#viral #fyp #newbieditzz #jjk #jujustukaisen #yuji #mahito #todo #cook	#viral #fyp #newbieditzz #jjk #jujustukaisen #yuji #mahito #todo #cook	https://www.tiktok.com/@.the_newbie/video/7310677719342124294
219	jjk	jjk	Manga animation: chocoyurr and vaisard on yt.....Sound: @Reckt #fyp #newbieditzz #him #viral #edit #itadori #megumi #jjk	#fyp #newbieditzz #him #viral #edit #itadori #megumi #jjk	https://www.tiktok.com/@.the_newbie/video/7296216293118692614
